DATA,INVASORA,TIPO DE FOLHA,QUANTIDADE,PESO VERDE (g),PESO SECO (g),COLETA DA AMOSTRA,PLANTAÇÃO,PASTO,Nº DE QUADROS,ÁREA DO QUADRO (m²),ÁREA TOTAL (m²),ANO,PRESSÃO (hPa),TEMPERATURA MÉDIA (°C),TEMPERATURA MÁXIMA (°C),TEMPERATURA MÍNIMA (°C),UMIDADE RELATIVA (%),VELOCIDADE DO VENTO (m/s),DIREÇÃO DO VENTO (°),PRECIPITAÇÃO (mm),control_index,PROFUNDIDADE (cm),pH (H20),H+Al (cmolc/dm3),Al (cmolc/dm3),Ca (cmolc/dm3),Mg (cmolc/dm3),K (mg/dm3),P (mg/dm3),M.O. (dag/kg),SB (cmolc/dm3),CTC (cmolc/dm3),V (%),Sat.Al (%),B (mg/dm3),Zn (mg/dm3),Cu (mg/dm3),Mn (mg/dm3),Fe (mg/dm3),Ca/Mg (cmolc/dm3),Ca/K (cmolc/mg),Mg/K (cmolc/mg),Ca+Mg/K (cmolc/mg)
2006-10-01,capim marmelada,1.0,75,3304.675,1321.87,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,3,2,5.6,6.42,0.4,3.4,0.62,91.0,16.0,3.15,4.26,10.68,40.0,9.0,0.16,1.9,1.13,22.07,32.56,5.48,0.04,0.01,0.04
2006-10-01,capim marmelada,1.0,75,3304.675,1321.87,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,3,4,5.2,6.71,0.4,2.78,0.48,50.0,9.0,2.82,3.39,10.1,34.0,11.0,0.16,1.9,1.13,22.07,32.56,5.79,0.06,0.01,0.07
2006-10-01,capim mombaça,1.0,34,692.0450000000001,276.818,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,4,0,5.3,7.75,0.4,3.01,0.72,149.0,27.0,3.66,4.11,11.86,35.0,9.0,0.16,1.9,1.13,22.07,32.56,4.18,0.02,0.005,0.03
2006-10-01,capim mombaça,1.0,34,692.0450000000001,276.818,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,4,2,5.6,6.42,0.4,3.4,0.62,91.0,16.0,3.15,4.26,10.68,40.0,9.0,0.16,1.9,1.13,22.07,32.56,5.48,0.04,0.01,0.04
2006-10-01,capim mombaça,1.0,34,692.0450000000001,276.818,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,4,4,5.2,6.71,0.4,2.78,0.48,50.0,9.0,2.82,3.39,10.1,34.0,11.0,0.16,1.9,1.13,22.07,32.56,5.79,0.06,0.01,0.07
2006-10-01,caruru,2.0,4,7.471,2.988,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,5,0,5.3,7.75,0.4,3.01,0.72,149.0,27.0,3.66,4.11,11.86,35.0,9.0,0.16,1.9,1.13,22.07,32.56,4.18,0.02,0.005,0.03
2006-10-01,caruru,2.0,4,7.471,2.988,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,5,2,5.6,6.42,0.4,3.4,0.62,91.0,16.0,3.15,4.26,10.68,40.0,9.0,0.16,1.9,1.13,22.07,32.56,5.48,0.04,0.01,0.04
2006-10-01,caruru,2.0,4,7.471,2.988,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,5,4,5.2,6.71,0.4,2.78,0.48,50.0,9.0,2.82,3.39,10.1,34.0,11.0,0.16,1.9,1.13,22.07,32.56,5.79,0.06,0.01,0.07
2006-10-01,cordão de frade,2.0,33,14.85,5.94,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,6,0,5.3,7.75,0.4,3.01,0.72,149.0,27.0,3.66,4.11,11.86,35.0,9.0,0.16,1.9,1.13,22.07,32.56,4.18,0.02,0.005,0.03
2006-10-01,cordão de frade,2.0,33,14.85,5.94,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,6,2,5.6,6.42,0.4,3.4,0.62,91.0,16.0,3.15,4.26,10.68,40.0,9.0,0.16,1.9,1.13,22.07,32.56,5.48,0.04,0.01,0.04
2006-10-01,cordão de frade,2.0,33,14.85,5.94,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,6,4,5.2,6.71,0.4,2.78,0.48,50.0,9.0,2.82,3.39,10.1,34.0,11.0,0.16,1.9,1.13,22.07,32.56,5.79,0.06,0.01,0.07
2006-10-01,erva de santa luzia,2.0,3,1.4,0.56,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,7,0,5.3,7.75,0.4,3.01,0.72,149.0,27.0,3.66,4.11,11.86,35.0,9.0,0.16,1.9,1.13,22.07,32.56,4.18,0.02,0.005,0.03
2006-10-01,erva de santa luzia,2.0,3,1.4,0.56,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,7,2,5.6,6.42,0.4,3.4,0.62,91.0,16.0,3.15,4.26,10.68,40.0,9.0,0.16,1.9,1.13,22.07,32.56,5.48,0.04,0.01,0.04
2006-10-01,erva de santa luzia,2.0,3,1.4,0.56,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,7,4,5.2,6.71,0.4,2.78,0.48,50.0,9.0,2.82,3.39,10.1,34.0,11.0,0.16,1.9,1.13,22.07,32.56,5.79,0.06,0.01,0.07
2006-10-01,erva de touro,2.0,1,0.571,0.228,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,8,0,5.3,7.75,0.4,3.01,0.72,149.0,27.0,3.66,4.11,11.86,35.0,9.0,0.16,1.9,1.13,22.07,32.56,4.18,0.02,0.005,0.03
2006-10-01,erva de touro,2.0,1,0.571,0.228,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,8,2,5.6,6.42,0.4,3.4,0.62,91.0,16.0,3.15,4.26,10.68,40.0,9.0,0.16,1.9,1.13,22.07,32.56,5.48,0.04,0.01,0.04
2006-10-01,erva de touro,2.0,1,0.571,0.228,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,8,4,5.2,6.71,0.4,2.78,0.48,50.0,9.0,2.82,3.39,10.1,34.0,11.0,0.16,1.9,1.13,22.07,32.56,5.79,0.06,0.01,0.07
2006-10-01,guanxuma,2.0,9,32.164,12.866,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,9,0,5.3,7.75,0.4,3.01,0.72,149.0,27.0,3.66,4.11,11.86,35.0,9.0,0.16,1.9,1.13,22.07,32.56,4.18,0.02,0.005,0.03
2006-10-01,guanxuma,2.0,9,32.164,12.866,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,9,2,5.6,6.42,0.4,3.4,0.62,91.0,16.0,3.15,4.26,10.68,40.0,9.0,0.16,1.9,1.13,22.07,32.56,5.48,0.04,0.01,0.04
2006-10-01,guanxuma,2.0,9,32.164,12.866,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,9,4,5.2,6.71,0.4,2.78,0.48,50.0,9.0,2.82,3.39,10.1,34.0,11.0,0.16,1.9,1.13,22.07,32.56,5.79,0.06,0.01,0.07
2006-10-01,joá de capote,2.0,8,2.0,0.8,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,10,0,5.3,7.75,0.4,3.01,0.72,149.0,27.0,3.66,4.11,11.86,35.0,9.0,0.16,1.9,1.13,22.07,32.56,4.18,0.02,0.005,0.03
2006-10-01,joá de capote,2.0,8,2.0,0.8,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,10,2,5.6,6.42,0.4,3.4,0.62,91.0,16.0,3.15,4.26,10.68,40.0,9.0,0.16,1.9,1.13,22.07,32.56,5.48,0.04,0.01,0.04
2006-10-01,joá de capote,2.0,8,2.0,0.8,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,10,4,5.2,6.71,0.4,2.78,0.48,50.0,9.0,2.82,3.39,10.1,34.0,11.0,0.16,1.9,1.13,22.07,32.56,5.79,0.06,0.01,0.07
2006-10-01,leiteiro,2.0,14,7.746,3.098,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,11,0,5.3,7.75,0.4,3.01,0.72,149.0,27.0,3.66,4.11,11.86,35.0,9.0,0.16,1.9,1.13,22.07,32.56,4.18,0.02,0.005,0.03
2006-10-01,leiteiro,2.0,14,7.746,3.098,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,11,2,5.6,6.42,0.4,3.4,0.62,91.0,16.0,3.15,4.26,10.68,40.0,9.0,0.16,1.9,1.13,22.07,32.56,5.48,0.04,0.01,0.04
2006-10-01,leiteiro,2.0,14,7.746,3.098,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,11,4,5.2,6.71,0.4,2.78,0.48,50.0,9.0,2.82,3.39,10.1,34.0,11.0,0.16,1.9,1.13,22.07,32.56,5.79,0.06,0.01,0.07
2006-10-01,mentrasto,2.0,1,0.985,0.394,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,12,0,5.3,7.75,0.4,3.01,0.72,149.0,27.0,3.66,4.11,11.86,35.0,9.0,0.16,1.9,1.13,22.07,32.56,4.18,0.02,0.005,0.03
2006-10-01,mentrasto,2.0,1,0.985,0.394,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,12,2,5.6,6.42,0.4,3.4,0.62,91.0,16.0,3.15,4.26,10.68,40.0,9.0,0.16,1.9,1.13,22.07,32.56,5.48,0.04,0.01,0.04
2006-10-01,mentrasto,2.0,1,0.985,0.394,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,12,4,5.2,6.71,0.4,2.78,0.48,50.0,9.0,2.82,3.39,10.1,34.0,11.0,0.16,1.9,1.13,22.07,32.56,5.79,0.06,0.01,0.07
2006-10-01,picão,2.0,15,12.188,4.875,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,13,0,5.3,7.75,0.4,3.01,0.72,149.0,27.0,3.66,4.11,11.86,35.0,9.0,0.16,1.9,1.13,22.07,32.56,4.18,0.02,0.005,0.03
2006-10-01,picão,2.0,15,12.188,4.875,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,13,2,5.6,6.42,0.4,3.4,0.62,91.0,16.0,3.15,4.26,10.68,40.0,9.0,0.16,1.9,1.13,22.07,32.56,5.48,0.04,0.01,0.04
2006-10-01,picão,2.0,15,12.188,4.875,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,13,4,5.2,6.71,0.4,2.78,0.48,50.0,9.0,2.82,3.39,10.1,34.0,11.0,0.16,1.9,1.13,22.07,32.56,5.79,0.06,0.01,0.07
2006-10-01,poaia,2.0,61,97.6,39.04,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,14,0,5.3,7.75,0.4,3.01,0.72,149.0,27.0,3.66,4.11,11.86,35.0,9.0,0.16,1.9,1.13,22.07,32.56,4.18,0.02,0.005,0.03
2006-10-01,poaia,2.0,61,97.6,39.04,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,14,2,5.6,6.42,0.4,3.4,0.62,91.0,16.0,3.15,4.26,10.68,40.0,9.0,0.16,1.9,1.13,22.07,32.56,5.48,0.04,0.01,0.04
2006-10-01,poaia,2.0,61,97.6,39.04,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,14,4,5.2,6.71,0.4,2.78,0.48,50.0,9.0,2.82,3.39,10.1,34.0,11.0,0.16,1.9,1.13,22.07,32.56,5.79,0.06,0.01,0.07
2006-10-01,tiririca,1.0,405,6890.063,2756.025,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,15,0,5.3,7.75,0.4,3.01,0.72,149.0,27.0,3.66,4.11,11.86,35.0,9.0,0.16,1.9,1.13,22.07,32.56,4.18,0.02,0.005,0.03
2006-10-01,tiririca,1.0,405,6890.063,2756.025,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,15,2,5.6,6.42,0.4,3.4,0.62,91.0,16.0,3.15,4.26,10.68,40.0,9.0,0.16,1.9,1.13,22.07,32.56,5.48,0.04,0.01,0.04
2006-10-01,tiririca,1.0,405,6890.063,2756.025,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,15,4,5.2,6.71,0.4,2.78,0.48,50.0,9.0,2.82,3.39,10.1,34.0,11.0,0.16,1.9,1.13,22.07,32.56,5.79,0.06,0.01,0.07
2006-10-01,trapoeraba,1.0,57,83.363,33.345,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,16,0,5.3,7.75,0.4,3.01,0.72,149.0,27.0,3.66,4.11,11.86,35.0,9.0,0.16,1.9,1.13,22.07,32.56,4.18,0.02,0.005,0.03
2006-10-01,trapoeraba,1.0,57,83.363,33.345,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,16,2,5.6,6.42,0.4,3.4,0.62,91.0,16.0,3.15,4.26,10.68,40.0,9.0,0.16,1.9,1.13,22.07,32.56,5.48,0.04,0.01,0.04
2006-10-01,trapoeraba,1.0,57,83.363,33.345,2.0,6.0,1.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,16,4,5.2,6.71,0.4,2.78,0.48,50.0,9.0,2.82,3.39,10.1,34.0,11.0,0.16,1.9,1.13,22.07,32.56,5.79,0.06,0.01,0.07
2006-10-01,capim braquiária,1.0,63,53.44,21.376,2.0,0.0,2.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,17,0,5.1,6.79,0.1,3.4,0.67,127.0,60.0,3.65,4.4,11.19,39.0,2.0,0.16,1.9,1.13,22.07,32.56,5.07,0.03,0.01,0.03
2006-10-01,capim braquiária,1.0,63,53.44,21.376,2.0,0.0,2.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,17,2,5.7,4.82,0.01,4.97,0.78,61.0,24.0,3.08,5.91,10.73,55.0,0.01,0.16,1.9,1.13,22.07,32.56,6.37,0.08,0.01,0.09
2006-10-01,capim braquiária,1.0,63,53.44,21.376,2.0,0.0,2.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,17,4,5.9,4.98,0.01,4.26,0.77,33.0,12.0,2.7,5.12,10.1,51.0,0.01,0.16,1.9,1.13,22.07,32.56,5.53,0.13,0.02,0.15
2006-10-01,capim carrapicho,1.0,22,111.1,44.44,2.0,0.0,2.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,18,0,5.1,6.79,0.1,3.4,0.67,127.0,60.0,3.65,4.4,11.19,39.0,2.0,0.16,1.9,1.13,22.07,32.56,5.07,0.03,0.01,0.03
2006-10-01,capim carrapicho,1.0,22,111.1,44.44,2.0,0.0,2.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,18,2,5.7,4.82,0.01,4.97,0.78,61.0,24.0,3.08,5.91,10.73,55.0,0.01,0.16,1.9,1.13,22.07,32.56,6.37,0.08,0.01,0.09
2006-10-01,capim carrapicho,1.0,22,111.1,44.44,2.0,0.0,2.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,18,4,5.9,4.98,0.01,4.26,0.77,33.0,12.0,2.7,5.12,10.1,51.0,0.01,0.16,1.9,1.13,22.07,32.56,5.53,0.13,0.02,0.15
2006-10-01,capim mombaça,1.0,74,1506.214,602.486,2.0,0.0,2.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,19,0,5.1,6.79,0.1,3.4,0.67,127.0,60.0,3.65,4.4,11.19,39.0,2.0,0.16,1.9,1.13,22.07,32.56,5.07,0.03,0.01,0.03
2006-10-01,capim mombaça,1.0,74,1506.214,602.486,2.0,0.0,2.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,19,2,5.7,4.82,0.01,4.97,0.78,61.0,24.0,3.08,5.91,10.73,55.0,0.01,0.16,1.9,1.13,22.07,32.56,6.37,0.08,0.01,0.09
2006-10-01,capim mombaça,1.0,74,1506.214,602.486,2.0,0.0,2.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,19,4,5.9,4.98,0.01,4.26,0.77,33.0,12.0,2.7,5.12,10.1,51.0,0.01,0.16,1.9,1.13,22.07,32.56,5.53,0.13,0.02,0.15
2006-10-01,caruru,2.0,2,3.729,1.492,2.0,0.0,2.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,20,0,5.1,6.79,0.1,3.4,0.67,127.0,60.0,3.65,4.4,11.19,39.0,2.0,0.16,1.9,1.13,22.07,32.56,5.07,0.03,0.01,0.03
2006-10-01,caruru,2.0,2,3.729,1.492,2.0,0.0,2.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,20,2,5.7,4.82,0.01,4.97,0.78,61.0,24.0,3.08,5.91,10.73,55.0,0.01,0.16,1.9,1.13,22.07,32.56,6.37,0.08,0.01,0.09
2006-10-01,caruru,2.0,2,3.729,1.492,2.0,0.0,2.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,20,4,5.9,4.98,0.01,4.26,0.77,33.0,12.0,2.7,5.12,10.1,51.0,0.01,0.16,1.9,1.13,22.07,32.56,5.53,0.13,0.02,0.15
2006-10-01,cordão de frade,2.0,1,0.45,0.18,2.0,0.0,2.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,21,0,5.1,6.79,0.1,3.4,0.67,127.0,60.0,3.65,4.4,11.19,39.0,2.0,0.16,1.9,1.13,22.07,32.56,5.07,0.03,0.01,0.03
2006-10-01,cordão de frade,2.0,1,0.45,0.18,2.0,0.0,2.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,21,2,5.7,4.82,0.01,4.97,0.78,61.0,24.0,3.08,5.91,10.73,55.0,0.01,0.16,1.9,1.13,22.07,32.56,6.37,0.08,0.01,0.09
2006-10-01,cordão de frade,2.0,1,0.45,0.18,2.0,0.0,2.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,21,4,5.9,4.98,0.01,4.26,0.77,33.0,12.0,2.7,5.12,10.1,51.0,0.01,0.16,1.9,1.13,22.07,32.56,5.53,0.13,0.02,0.15
2006-10-01,picão,2.0,1,0.813,0.325,2.0,0.0,2.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,22,0,5.1,6.79,0.1,3.4,0.67,127.0,60.0,3.65,4.4,11.19,39.0,2.0,0.16,1.9,1.13,22.07,32.56,5.07,0.03,0.01,0.03
2006-10-01,picão,2.0,1,0.813,0.325,2.0,0.0,2.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,22,2,5.7,4.82,0.01,4.97,0.78,61.0,24.0,3.08,5.91,10.73,55.0,0.01,0.16,1.9,1.13,22.07,32.56,6.37,0.08,0.01,0.09
2006-10-01,picão,2.0,1,0.813,0.325,2.0,0.0,2.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,22,4,5.9,4.98,0.01,4.26,0.77,33.0,12.0,2.7,5.12,10.1,51.0,0.01,0.16,1.9,1.13,22.07,32.56,5.53,0.13,0.02,0.15
2006-10-01,poaia,2.0,6,9.6,3.84,2.0,0.0,2.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,23,0,5.1,6.79,0.1,3.4,0.67,127.0,60.0,3.65,4.4,11.19,39.0,2.0,0.16,1.9,1.13,22.07,32.56,5.07,0.03,0.01,0.03
2006-10-01,poaia,2.0,6,9.6,3.84,2.0,0.0,2.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,23,2,5.7,4.82,0.01,4.97,0.78,61.0,24.0,3.08,5.91,10.73,55.0,0.01,0.16,1.9,1.13,22.07,32.56,6.37,0.08,0.01,0.09
2006-10-01,poaia,2.0,6,9.6,3.84,2.0,0.0,2.0,43.0,0.25,10.75,2006,931.4,22.83333333,27.6,19.6,66.66666667,2.4,150.0,0.0,23,4,5.9,4.98,0.01,4.26,0.77,33.0,12.0,2.7,5.12,10.1,51.0,0.01,0.16,1.9,1.13,22.07,32.56,5.53,0.13,0.02,0.15
